Speaker,Text,Actionable Words,Dates,Context
Isabella,"During the homework, there will be a standup on no specific date.",Homework,NULL,standup
Sarah,A training is set to occur on 04-05-2025 related to the deliverable.,Deliverable,04-05-2025,training
Emma,The standup is planned for no specific date during the plan.,Plan,NULL,standup
Isabella,"During the proposal, there will be a deployment on no specific date.",Proposal,NULL,deployment
Chris,The deadline is planned for no specific date during the review.,Review,NULL,deadline
James,"During the task, there will be a testing on 07-12-2024.",Task,07-12-2024,testing
John,"During the proposal, there will be a implementation on 02-13-2024.",Proposal,02-13-2024,implementation
Emma,implementation regarding the paper is expected on 12-14-2025.,Paper,12-14-2025,implementation
Liam,The submission is happening on 01-16-2025 regarding the proposal.,Proposal,01-16-2025,submission
Sarah,The standup is planned for no specific date during the study.,Study,NULL,standup
Olivia,The workshop is planned for 02-14-2025 during the research.,Research,02-14-2025,workshop
Emma,A presentation is set to occur on 03-18-2025 related to the exercise.,Exercise,03-18-2025,presentation
Liam,A deployment is set to occur on 09-17-2025 related to the project.,Project,09-17-2025,deployment
Chris,The huddle is planned for 03-08-2025 during the project.,Project,03-08-2025,huddle
Sophia,webinar regarding the assignment is expected on 08-12-2025.,Assignment,08-12-2025,webinar
Sarah,The alignment is planned for no specific date during the plan.,Plan,NULL,alignment
Sarah,The catch-up is happening on 12-02-2025 regarding the study.,Study,12-02-2025,catch-up
Isabella,The workshop is planned for no specific date during the study.,Study,NULL,workshop
David,"During the exercise, there will be a catch-up on no specific date.",Exercise,NULL,catch-up
Isabella,testing regarding the presentation is expected on 06-19-2025.,Presentation,06-19-2025,testing
Chris,submission regarding the presentation is expected on 02-22-2025.,Presentation,02-22-2025,submission
John,deadline regarding the paper is expected on 03-18-2024.,Paper,03-18-2024,deadline
Mark,The briefing is happening on no specific date regarding the experiment.,Experiment,NULL,briefing
James,"During the experiment, there will be a webinar on no specific date.",Experiment,NULL,webinar
Sarah,"During the exercise, there will be a deadline on 02-04-2025.",Exercise,02-04-2025,deadline
James,The brainstorm is happening on no specific date regarding the assignment.,Assignment,NULL,brainstorm
David,The alignment is happening on 10-11-2025 regarding the proposal.,Proposal,10-11-2025,alignment
Chris,"During the draft, there will be a briefing on 11-14-2024.",Draft,11-14-2024,briefing
Chris,session regarding the task is expected on 08-16-2025.,Task,08-16-2025,session
Liam,deployment regarding the report is expected on 05-22-2024.,Report,05-22-2024,deployment
Alice,"During the report, there will be a briefing on 10-03-2024.",Report,10-03-2024,briefing
Isabella,A briefing is set to occur on no specific date related to the analysis.,Analysis,NULL,briefing
Sarah,The conference is happening on no specific date regarding the project.,Project,NULL,conference
Isabella,"During the research, there will be a session on no specific date.",Research,NULL,session
Emma,The submission is planned for 01-12-2025 during the experiment.,Experiment,01-12-2025,submission
Charlotte,A orientation is set to occur on 12-13-2025 related to the proposal.,Proposal,12-13-2025,orientation
Sarah,The session is planned for no specific date during the task.,Task,NULL,session
Alice,The training is happening on 11-05-2025 regarding the task.,Task,11-05-2025,training
Sarah,"During the exercise, there will be a session on 03-25-2024.",Exercise,03-25-2024,session
Mark,The discussion is planned for 11-01-2025 during the exercise.,Exercise,11-01-2025,discussion
Mark,conference regarding the exercise is expected on no specific date.,Exercise,NULL,conference
Sarah,A discussion is set to occur on no specific date related to the proposal.,Proposal,NULL,discussion
James,The briefing is happening on no specific date regarding the draft.,Draft,NULL,briefing
David,The meeting is happening on no specific date regarding the research.,Research,NULL,meeting
Chris,The webinar is planned for 11-03-2025 during the exercise.,Exercise,11-03-2025,webinar
Olivia,"During the homework, there will be a webinar on 08-01-2024.",Homework,08-01-2024,webinar
Ethan,The orientation is happening on no specific date regarding the presentation.,Presentation,NULL,orientation
John,The session is planned for 06-27-2025 during the study.,Study,06-27-2025,session
Chris,The session is happening on 04-28-2024 regarding the document.,Document,04-28-2024,session
Olivia,deadline regarding the project is expected on 12-15-2024.,Project,12-15-2024,deadline
Sophia,The alignment is happening on 01-04-2024 regarding the plan.,Plan,01-04-2024,alignment
Charlotte,"During the experiment, there will be a webinar on 06-25-2025.",Experiment,06-25-2025,webinar
Ethan,The conference is happening on no specific date regarding the assignment.,Assignment,NULL,conference
Liam,The training is happening on 01-20-2025 regarding the experiment.,Experiment,01-20-2025,training
Alice,discussion regarding the project is expected on 11-27-2024.,Project,11-27-2024,discussion
Sophia,A webinar is set to occur on 03-24-2024 related to the study.,Study,03-24-2024,webinar
Isabella,"During the homework, there will be a workshop on 03-12-2024.",Homework,03-12-2024,workshop
Sophia,The training is happening on 05-10-2024 regarding the deliverable.,Deliverable,05-10-2024,training
Isabella,A deadline is set to occur on 01-18-2024 related to the research.,Research,01-18-2024,deadline
James,The training is happening on 12-25-2025 regarding the experiment.,Experiment,12-25-2025,training
Liam,training regarding the review is expected on 05-24-2025.,Review,05-24-2025,training
Alice,deadline regarding the draft is expected on 09-01-2025.,Draft,09-01-2025,deadline
Sophia,"During the project, there will be a presentation on no specific date.",Project,NULL,presentation
Olivia,The catch-up is planned for 06-28-2024 during the review.,Review,06-28-2024,catch-up
James,The session is happening on 11-24-2024 regarding the research.,Research,11-24-2024,session
Sophia,The standup is happening on 06-28-2024 regarding the deliverable.,Deliverable,06-28-2024,standup
Mark,A webinar is set to occur on 10-12-2025 related to the assignment.,Assignment,10-12-2025,webinar
James,The orientation is happening on no specific date regarding the deliverable.,Deliverable,NULL,orientation
John,"During the experiment, there will be a deployment on 08-08-2025.",Experiment,08-08-2025,deployment
Sarah,A discussion is set to occur on 07-03-2024 related to the study.,Study,07-03-2024,discussion
Sophia,The alignment is happening on 04-14-2024 regarding the review.,Review,04-14-2024,alignment
Isabella,"During the project, there will be a submission on 06-07-2025.",Project,06-07-2025,submission
Liam,A submission is set to occur on no specific date related to the presentation.,Presentation,NULL,submission
James,The testing is happening on no specific date regarding the exercise.,Exercise,NULL,testing
John,"During the task, there will be a training on 02-13-2024.",Task,02-13-2024,training
James,The meeting is happening on 06-18-2025 regarding the draft.,Draft,06-18-2025,meeting
Chris,standup regarding the assignment is expected on no specific date.,Assignment,NULL,standup
Olivia,The session is planned for no specific date during the experiment.,Experiment,NULL,session
Alice,brainstorm regarding the document is expected on 04-26-2025.,Document,04-26-2025,brainstorm
Liam,A workshop is set to occur on no specific date related to the document.,Document,NULL,workshop
Mark,brainstorm regarding the research is expected on no specific date.,Research,NULL,brainstorm
Olivia,"During the deliverable, there will be a training on 01-06-2024.",Deliverable,01-06-2024,training
David,catch-up regarding the experiment is expected on 06-20-2024.,Experiment,06-20-2024,catch-up
Liam,The training is planned for 09-16-2025 during the task.,Task,09-16-2025,training
Alice,The conference is planned for 11-06-2024 during the draft.,Draft,11-06-2024,conference
Emma,discussion regarding the draft is expected on 05-20-2025.,Draft,05-20-2025,discussion
Sarah,The briefing is planned for 12-02-2025 during the plan.,Plan,12-02-2025,briefing
Ethan,The discussion is planned for no specific date during the analysis.,Analysis,NULL,discussion
Sophia,The training is happening on 07-04-2025 regarding the study.,Study,07-04-2025,training
Alice,A huddle is set to occur on 05-02-2025 related to the research.,Research,05-02-2025,huddle
Charlotte,The presentation is happening on 01-25-2024 regarding the study.,Study,01-25-2024,presentation
Charlotte,A submission is set to occur on 03-01-2025 related to the review.,Review,03-01-2025,submission
Sarah,"During the analysis, there will be a alignment on 05-07-2024.",Analysis,05-07-2024,alignment
John,A brainstorm is set to occur on 09-17-2024 related to the assignment.,Assignment,09-17-2024,brainstorm
John,"During the assignment, there will be a discussion on no specific date.",Assignment,NULL,discussion
Isabella,"During the analysis, there will be a conference on 03-10-2024.",Analysis,03-10-2024,conference
David,The catch-up is happening on no specific date regarding the task.,Task,NULL,catch-up
Ethan,"During the draft, there will be a meeting on 11-24-2024.",Draft,11-24-2024,meeting
Sarah,A meeting is set to occur on 12-22-2025 related to the analysis.,Analysis,12-22-2025,meeting
Liam,The submission is happening on 01-26-2025 regarding the paper.,Paper,01-26-2025,submission
Sarah,The training is happening on 06-09-2025 regarding the report.,Report,06-09-2025,training
Ethan,The briefing is planned for 09-18-2024 during the experiment.,Experiment,09-18-2024,briefing
Sarah,"During the deliverable, there will be a conference on 02-07-2025.",Deliverable,02-07-2025,conference
Liam,A webinar is set to occur on 12-06-2024 related to the document.,Document,12-06-2024,webinar
David,"During the presentation, there will be a huddle on no specific date.",Presentation,NULL,huddle
Charlotte,"During the document, there will be a standup on no specific date.",Document,NULL,standup
Olivia,A implementation is set to occur on 11-18-2024 related to the deliverable.,Deliverable,11-18-2024,implementation
Sarah,A orientation is set to occur on no specific date related to the research.,Research,NULL,orientation
Liam,alignment regarding the project is expected on no specific date.,Project,NULL,alignment
Isabella,The brainstorm is happening on no specific date regarding the report.,Report,NULL,brainstorm
Liam,"During the paper, there will be a brainstorm on no specific date.",Paper,NULL,brainstorm
Liam,deadline regarding the paper is expected on 09-08-2025.,Paper,09-08-2025,deadline
Olivia,A deployment is set to occur on 01-05-2024 related to the research.,Research,01-05-2024,deployment
James,conference regarding the assignment is expected on no specific date.,Assignment,NULL,conference
Liam,A alignment is set to occur on 11-02-2025 related to the homework.,Homework,11-02-2025,alignment
Alice,testing regarding the analysis is expected on 05-23-2024.,Analysis,05-23-2024,testing
Mark,The standup is planned for 11-14-2025 during the proposal.,Proposal,11-14-2025,standup
Ethan,webinar regarding the plan is expected on 09-13-2024.,Plan,09-13-2024,webinar
